project,relative,status_vs_old_worktree,sha256,old_sha256
apps,examples/openvela_ble_probe/CMakeLists.txt,modified,5cfe566e468f168dfd79a383026df1c76f83f456835ae044b9f3c61c4c9d07e4,de413a645740e84ffa29abc5f8a46b3dbd2530e6af804217f9b789f283df41ba
apps,examples/openvela_ble_probe/Kconfig,unchanged,5a2ad5ee7601847ab8fa3e9f94dc25657ddd158f16d89b1a22227608ebaca1b0,5a2ad5ee7601847ab8fa3e9f94dc25657ddd158f16d89b1a22227608ebaca1b0
apps,examples/openvela_ble_probe/beat_rank1.c,added,878cad0e8a97ab640fc558da84c841ef9f4b3d30c51aec7bf9c5d402bb2776bb,
apps,examples/openvela_ble_probe/beat_rank1.h,added,bfe43e49456446f341195fde2da4ec37a6d9b3f35921ef2807261d87ee1065bc,
apps,examples/openvela_ble_probe/openvela_ble_probe_main.c,modified,8e838dca22628546450a637ffadabcce6d703f0b31884925f9cacf368557ac8d,c04978af22a014c3935cb5b6ec99eafbe95adbbe8f7a2d50956070688bc37153
apps,examples/openvela_ble_probe/probe_app_input.c,added,31d42446f4fc4a25fd08abfe556af34a382d3f4847c1ed97b46e15edaf0ead49,
apps,examples/openvela_ble_probe/probe_app_input.h,added,e19bacba52a06aac16b8a08e4d4ce0172a85a1e14049cd6c3b8571d23c5eceec,
apps,examples/openvela_ble_probe/probe_fifo_pair.c,added,d0c0ba60884ebf2f2b9293e15834288eff7546688830323015119b4275fc0229,
apps,examples/openvela_ble_probe/probe_fifo_pair.h,added,7e4ca600d9f05c5840506d1758f827ab81000ef4adbe4989660b7c5cd9c24210,
apps,examples/openvela_ble_probe/probe_fifo_runtime.c,added,2a64b615c4e571934416caf0838598dc87861eb264e9829b1a7b11e9d49b7afa,
apps,examples/openvela_ble_probe/probe_fifo_runtime.h,added,8ff0246a71d69c42980b5698396193af1bf859af767c7ebaafbfd5af93237048,
apps,examples/openvela_ble_probe/probe_fifo_time_estimator.c,added,8418c258792f53385246b35ba4d5c46ee54449614b66998c3516af630ad3609e,
apps,examples/openvela_ble_probe/probe_fifo_time_estimator.h,added,04f5abbed1df8e63c2840c8dac442c8e1436a8438776042759b410790bc03e8b,
apps,examples/openvela_ble_probe/probe_game.c,unchanged,1dd83e80d87b4293f0e1e56d736389898ef02e1079c6b488a9cb7969ce86000f,1dd83e80d87b4293f0e1e56d736389898ef02e1079c6b488a9cb7969ce86000f
apps,examples/openvela_ble_probe/probe_game.h,modified,2bcc066a84e6929cfd09796c01ce2df20fd89449a4719fa144554a05a21a4647,e124aa2fdd2ff7c53e351c9f4b8fe93c6ef9555412a63e164b3f40dc7985b768
apps,examples/openvela_ble_probe/probe_rank_interval.c,added,7a2e3993cb774050b9e3c2a3a68d9fa897e82ad3931b95eb6ba8005b96583c04,
apps,examples/openvela_ble_probe/probe_rank_interval.h,added,1f174c26203902f38cae39b8993994f8c8e2b95832fc89470e66b8b2cb6a77e7,
apps,examples/openvela_ble_probe/probe_stop_control.c,added,515818b64aa04f27aa8fbda8f2fe9bd4edc1995e9b8b95ffd28fa8ce5cb9a04c,
apps,examples/openvela_ble_probe/probe_stop_control.h,added,c2ff6f3eeb974f5d95da5d44d0fc7d2e2fad2f25f6306eab3de5381d7f1196d5,
apps,examples/openvela_ble_probe/probe_ui.c,modified,7d1a886c657eb4206f5a023407d2584e5925c1769a66b6accede90f4f640a9cb,bf57c63425df3038033763a8a1039090d1bec9655f36b4412c72440d9a61e426
apps,examples/openvela_ble_probe/probe_ui.h,modified,16a6941188fcd4d5b0a21dfee98faaeb6797c52bc835237fc701837f51f931a5,c42f4a77fa75691185b42cc0e949a6d28c2fdf895a05adaace91e685885689ff
apps,examples/openvela_ble_probe/probe_ui_beat_mailbox.c,added,e10fc5eeb0a4bc80a48d1e467201b51409170fa7491cd4570c5c447857aec837,
apps,examples/openvela_ble_probe/probe_ui_beat_mailbox.h,added,e51a65ea785d59395a933045630e8737b51aded560a3b5a53b03de52a79ceaa2,
apps,examples/openvela_ble_probe/probe_ui_refresh_policy.c,added,33c157cb690043edfe02297d16d98c5b84808b2a296148cfb7ec4f536ccdd22e,
apps,examples/openvela_ble_probe/probe_ui_refresh_policy.h,added,9863ee257e83bcee4c2380df153f32ca3e00a65ee346d9e42b44cc1dce5c5ee3,
